condition,minimum,latency,baseline,magnitude,flash_shown,stim_jumped,prolific_id
flash_jump,1.7931909642398034,590,5.136612889984649,3.3434219257448454,1,1,560ec3b0d4ab1e00126fb704
flash_no_jump,3.7135352364829854,700,5.14647723492278,1.4329419984397944,1,0,560ec3b0d4ab1e00126fb704
no_flash_jump,3.281064553923498,562,5.151359793819549,1.870295239896051,0,1,560ec3b0d4ab1e00126fb704
no_flash_no_jump,3.5656211866931695,700,4.893992915668887,1.3283717289757178,0,0,560ec3b0d4ab1e00126fb704
flash_jump,3.542561594541073,455,4.46712273228147,0.924561137740397,1,1,5cf92c7255e1370001e54adb
flash_no_jump,3.7889323805604427,581,4.568031889368274,0.779099508807831,1,0,5cf92c7255e1370001e54adb
no_flash_jump,3.601381881268648,418,4.388889645992394,0.7875077647237454,0,1,5cf92c7255e1370001e54adb
no_flash_no_jump,4.137072055860027,505,4.31543873496002,0.1783666790999936,0,0,5cf92c7255e1370001e54adb
flash_jump,3.116488574089747,694,4.698055436309169,1.581566862219422,1,1,5ea313491b416808c9eeaa34
flash_no_jump,3.887465723293939,700,4.976921446196748,1.0894557229028088,1,0,5ea313491b416808c9eeaa34
no_flash_jump,3.167359395729048,502,4.817027266031738,1.6496678703026904,0,1,5ea313491b416808c9eeaa34
no_flash_no_jump,4.015594331110485,516,5.363865399516705,1.3482710684062198,0,0,5ea313491b416808c9eeaa34
flash_jump,3.6228618266652464,681,4.857085759653196,1.2342239329879496,1,1,5fbf515338073f200f1317cf
flash_no_jump,4.9800193652433284,111,5.247010430504793,0.26699106526146466,1,0,5fbf515338073f200f1317cf
no_flash_jump,3.3457752707783763,700,5.1522869872795445,1.8065117165011682,0,1,5fbf515338073f200f1317cf
no_flash_no_jump,4.376621511975553,700,5.145700898416702,0.7690793864411489,0,0,5fbf515338073f200f1317cf
flash_jump,1.2333763069220909,420,4.469583335069135,3.236207028147044,1,1,5fe3932b8d3c668577f04f13
flash_no_jump,2.9985442347583646,361,4.059209912013212,1.060665677254847,1,0,5fe3932b8d3c668577f04f13
no_flash_jump,1.1673870195430487,419,4.118741250659326,2.9513542311162775,0,1,5fe3932b8d3c668577f04f13
no_flash_no_jump,3.2812154224305314,345,4.3378394790064885,1.056624056575957,0,0,5fe3932b8d3c668577f04f13
flash_jump,1.6607276274644076,570,5.117755832549038,3.457028205084631,1,1,5ffdd8d1b2325f3c1f6edc6b
flash_no_jump,4.590222906333038,245,4.7599136390381185,0.16969073270508073,1,0,5ffdd8d1b2325f3c1f6edc6b
no_flash_jump,2.3636165591837406,560,5.020149460056773,2.6565329008730325,0,1,5ffdd8d1b2325f3c1f6edc6b
no_flash_no_jump,4.532108369867475,221,4.961796989413367,0.42968861954589155,0,0,5ffdd8d1b2325f3c1f6edc6b
flash_jump,3.5378301773641616,700,5.36274747104454,1.8249172936803784,1,1,600a4e976b660c1b22959bbb
flash_no_jump,4.367319443579191,649,5.546515099671633,1.1791956560924417,1,0,600a4e976b660c1b22959bbb
no_flash_jump,3.16130482669868,700,5.381925321642339,2.220620494943659,0,1,600a4e976b660c1b22959bbb
no_flash_no_jump,5.611352380703666,137,5.397929899018614,-0.2134224816850523,0,0,600a4e976b660c1b22959bbb
flash_jump,3.957358245903524,700,5.185433803160751,1.228075557257227,1,1,600c3f7abeaa410d36681bb6
flash_no_jump,4.041423977321739,476,4.6149930635272405,0.5735690862055014,1,0,600c3f7abeaa410d36681bb6
no_flash_jump,3.491118597981897,695,5.143481241762609,1.6523626437807115,0,1,600c3f7abeaa410d36681bb6
no_flash_no_jump,3.9168699359394985,501,4.91370922511754,0.9968392891780411,0,0,600c3f7abeaa410d36681bb6
flash_jump,2.0302417380584843,476,4.644534228074689,2.614292490016205,1,1,6043f909d14273455e5e7436
flash_no_jump,3.309893929625105,451,4.4708189387252775,1.1609250091001724,1,0,6043f909d14273455e5e7436
no_flash_jump,2.2119154058756654,627,4.633200710298108,2.4212853044224425,0,1,6043f909d14273455e5e7436
no_flash_no_jump,3.7315603050346633,694,4.544686947002215,0.8131266419675516,0,0,6043f909d14273455e5e7436
flash_jump,2.4456056345547936,401,4.906754012161786,2.461148377606992,1,1,60a37b4e514b606e0a822a0c
flash_no_jump,4.126717541073783,669,4.950943174239507,0.8242256331657236,1,0,60a37b4e514b606e0a822a0c
no_flash_jump,2.579302208583509,405,4.985751500111194,2.406449291527685,0,1,60a37b4e514b606e0a822a0c
no_flash_no_jump,4.1761152443444285,700,4.845395056569309,0.6692798122248806,0,0,60a37b4e514b606e0a822a0c
flash_jump,2.4210622979780827,417,3.875572792925174,1.4545104949470913,1,1,60cdae5d942a76a98eba611a
flash_no_jump,3.215195023372451,423,4.021383272667715,0.8061882492952641,1,0,60cdae5d942a76a98eba611a
no_flash_jump,2.281229270998431,457,3.8638298485124314,1.5826005775140004,0,1,60cdae5d942a76a98eba611a
no_flash_no_jump,3.6172358960457967,190,3.670739541670271,0.053503645624474405,0,0,60cdae5d942a76a98eba611a
flash_jump,1.3999478888325636,563,4.9949696041084986,3.595021715275935,1,1,60d02e9baaeaa06a15ced8bf
flash_no_jump,3.775390428177743,630,5.3683457111753095,1.5929552829975666,1,0,60d02e9baaeaa06a15ced8bf
no_flash_jump,1.9348742522183857,596,5.519473714097134,3.5845994618787484,0,1,60d02e9baaeaa06a15ced8bf
no_flash_no_jump,3.5653578211146337,700,4.8139206650756226,1.2485628439609888,0,0,60d02e9baaeaa06a15ced8bf
flash_jump,3.771792007772595,517,5.414193977280905,1.64240196950831,1,1,60ddfb3db6a71ad9ba75e387
flash_no_jump,4.0179070739238405,655,4.961442948259405,0.9435358743355646,1,0,60ddfb3db6a71ad9ba75e387
no_flash_jump,3.2285451822949636,568,4.917959160656471,1.6894139783615074,0,1,60ddfb3db6a71ad9ba75e387
no_flash_no_jump,3.4751461677037647,700,5.664158189236935,2.1890120215331703,0,0,60ddfb3db6a71ad9ba75e387
flash_jump,1.9647309222127207,543,5.596733071379518,3.632002149166797,1,1,6113a0193b208bc3c0f4fdfb
flash_no_jump,4.183563910178382,700,5.501948553342631,1.318384643164249,1,0,6113a0193b208bc3c0f4fdfb
no_flash_jump,2.7399135182029237,660,5.738586278991441,2.9986727607885175,0,1,6113a0193b208bc3c0f4fdfb
no_flash_no_jump,3.40906966085965,700,5.766046035879037,2.356976375019387,0,0,6113a0193b208bc3c0f4fdfb
flash_jump,2.063191726156369,523,4.517673971064894,2.4544822449085246,1,1,611dfb6abb6863cd8479d99b
flash_no_jump,4.2495429080371565,657,4.902764611712151,0.6532217036749941,1,0,611dfb6abb6863cd8479d99b
no_flash_jump,2.577618761135536,490,4.376285331812606,1.79866657067707,0,1,611dfb6abb6863cd8479d99b
no_flash_no_jump,3.8126519062626123,552,4.074354885026747,0.2617029787641343,0,0,611dfb6abb6863cd8479d99b
flash_jump,4.005199686282339,518,4.604461005588035,0.5992613193056959,1,1,6140c6ea5b79d814890d4eae
flash_no_jump,4.351193050104326,368,4.284109747666292,-0.06708330243803395,1,0,6140c6ea5b79d814890d4eae
no_flash_jump,4.071429363613735,552,4.5803569735414476,0.5089276099277127,0,1,6140c6ea5b79d814890d4eae
no_flash_no_jump,4.353863225274392,69,4.800724071578943,0.4468608463045518,0,0,6140c6ea5b79d814890d4eae
flash_jump,1.5914003439404367,492,4.674624498296549,3.083224154356112,1,1,614d985cd9d1b7d65c866eeb
flash_no_jump,4.256275586260637,661,4.180713846181046,-0.07556174007959093,1,0,614d985cd9d1b7d65c866eeb
no_flash_jump,2.336079950663951,511,4.655896080000084,2.3198161293361332,0,1,614d985cd9d1b7d65c866eeb
no_flash_no_jump,4.060361933320488,119,4.567586295012658,0.5072243616921703,0,0,614d985cd9d1b7d65c866eeb
flash_jump,2.5447352883903918,474,5.007864664042852,2.4631293756524606,1,1,6483228552ced600c53b1922
flash_no_jump,3.8849693967584162,686,5.1993020715550795,1.3143326747966633,1,0,6483228552ced600c53b1922
no_flash_jump,2.4560116142726915,546,5.323582123167586,2.867570508894895,0,1,6483228552ced600c53b1922
no_flash_no_jump,4.89198280468101,108,5.314008996580087,0.42202619189907686,0,0,6483228552ced600c53b1922
